station,latitude,longitude,water_depth,years_active
CM06,73.17666667,-116.2116667,-1,1982
CM07,73.15333333,-116.1616667,-1,1982
CM08,73.145,-116.1333333,-1,1982
CM09,73.08333333,-116.5783333,-1,1982
CM1,74.46166667,-97.18,114,1985|1989
CM10,53.541,-129.001,-1,1977|1978|1982
CM11,53.67916667,-128.83,-1,1977|1978|1982
CM12,53.40116667,-129.3848333,-1,1978|1982
CM13,73.99833333,-115.4616667,-1,1982
CM14,74.16666667,-115.0333333,-1,1982
CM15,53.20033333,-129.123,-1,1978|1982
CM16,74.415,-114,-1,1982
CM17,74.44833333,-113.85,-1,1982
CM18,73.33,-113.9666667,-1,1982
CM19,73.495,-113.3216667,-1,1982
CM2,74.46166667,-97.18,114,1977|1978|1985|1989
CM20,73.81166667,-106.4316667,-1,1982
CM21,73.89333333,-106.5,-1,1982
CM22,74.01333333,-106.5966667,-1,1982
CM23,74.34333333,-106.8516667,-1,1982
CM24,74.685,-107.105,-1,1982
CM25,74.8,-107.1833333,-1,1982
CM26,74.85333333,-107.2333333,-1,1982
CM3,74.46166667,-97.18,114,1977|1978|1985|1989
CM4,74.46166667,-97.18,114,1977|1985
CM5,74.46166667,-97.18,114,1977|1985
CM57,74.86,-104.2133333,127,1983
CM58,74.985,-104.2233333,61,1983
CM6,53.74916667,-128.8208333,-1,1977
CM62,75.92666667,-105.3766667,178,1983
CM63,75.96833333,-105.1766667,136,1983
CM65,76.04833333,-104.6466667,180,1983
CM66,76.07666667,-104.465,118,1983
CM71,75.38666667,-102.4883333,173,1983|1984
CM72,74.95166667,-100.4483333,78,1983
CM74,74.85,-100.8283333,130,1983
CM79,74.00333333,-101.6633333,132,1983
CM8,53.2,-129.518,-1,1977|1978
CM81,73.88166667,-100.995,65,1983
CM82,72.93833333,-104.8666667,69,1983
CM83,72.91333333,-104.4833333,203,1983
CM86,72.865,-103.1433333,276,1983
CM87,72.84166667,-102.9016667,89,1983
CM9,53.14583333,-129.3675,-1,1977|1978
CMP1,53.00715,-129.2583667,365,2015|2016
COBB 1,46.76183333,-130.7905,186,1990|1991|1992
